video_second;time_label;comments_per_second;views;new subscribers every 10 sec;engagement_rate_scaled
104;1:44;33;552232;;4.12
105;1:45;29;552666;;3.62
106;1:46;33;553232;;4.12
107;1:47;29;553666;;3.62
108;1:48;38;554316;;4.75
109;1:49;31;554699;54.0;3.88
110;1:50;31;555199;;3.88
111;1:51;23;555566;;2.88
112;1:52;26;556116;;3.25
113;1:53;34;556749;;4.25
114;1:54;27;557133;;3.38
115;1:55;34;557749;;4.25
116;1:56;23;558066;;2.88
117;1:57;30;558682;;3.75
118;1:58;33;559232;;4.12
119;1:59;30;559682;53.0;3.75
120;2:00;28;560149;;3.5
121;2:01;34;560749;;4.25
122;2:02;37;561299;;4.62
123;2:03;32;561716;;4.0
124;2:04;36;562282;;4.5
125;2:05;34;562749;;4.25
126;2:06;28;563149;;3.5
127;2:07;31;563699;;3.88
128;2:08;36;564282;;4.5
129;2:09;25;564599;54.0;3.12
130;2:10;25;565099;;3.12
131;2:11;28;565649;;3.5
132;2:12;21;566033;;2.62
133;2:13;29;566666;;3.62
134;2:14;33;567232;;4.12
135;2:15;30;567682;;3.75
136;2:16;24;568083;;3.0
137;2:17;21;568533;;2.62
138;2:18;31;569199;;3.88
139;2:19;33;569732;55.0;4.12
140;2:20;35;570266;;4.38
141;2:21;29;570666;;3.62
142;2:22;23;571066;;2.88
143;2:23;31;571699;;3.88
144;2:24;27;572133;;3.38
145;2:25;24;572583;;3.0
146;2:26;36;573282;;4.5
147;2:27;25;573599;;3.12
148;2:28;36;574282;;4.5
149;2:29;29;574666;64.0;3.62
150;2:30;37;575299;;4.62
151;2:31;40;575849;;5.0
152;2:32;42;576382;;5.25
153;2:33;40;576849;;5.0
154;2:34;49;577498;;6.12
155;2:35;44;577915;;5.5
156;2:36;48;578482;;6.0
157;2:37;59;579165;;7.38
158;2:38;74;579914;;9.25
159;2:39;83;580564;75.0;10.38
160;2:40;95;581264;;11.88
161;2:41;109;581996;;13.62
162;2:42;119;582663;;14.88
163;2:43;143;583562;;17.88
164;2:44;156;584278;;19.5
165;2:45;177;585127;;22.12
166;2:46;207;586126;;25.88
167;2:47;228;586976;;28.5
168;2:48;253;587891;;31.62
169;2:49;286;588940;58.0;35.75
170;2:50;317;589956;;39.62
171;2:51;342;590872;;42.75
172;2:52;367;591787;;45.88
173;2:53;398;592803;;49.75
174;2:54;428;593802;;53.5
175;2:55;441;594518;;55.12
176;2:56;465;595417;;58.12
177;2:57;476;596100;;59.5
178;2:58;489;596817;;61.12
179;2:59;500;597500;34.0;62.5
180;3:00;500;598000;;62.5
181;3:01;499;598483;;62.38
182;3:02;490;598833;;61.25
183;3:03;479;599150;;59.88
184;3:04;466;599434;;58.25
185;3:05;451;599685;;56.38
186;3:06;417;599619;;52.12
187;3:07;394;599737;;49.25
188;3:08;373;599887;;46.62
189;3:09;356;600104;38.0;44.5
190;3:10;318;599972;;39.75
191;3:11;294;600073;;36.75
192;3:12;253;599891;;31.62
193;3:13;231;600025;;28.88
194;3:14;214;600243;;26.75
195;3:15;189;600327;;23.62
196;3:16;161;600361;;20.12
197;3:17;142;600545;;17.75
198;3:18;124;600746;;15.5
199;3:19;111;601030;49.0;13.88
200;3:20;96;601280;;12.0
201;3:21;83;601564;;10.38
202;3:22;76;601948;;9.5
203;3:23;76;602448;;9.5
204;3:24;53;602565;;6.62
205;3:25;49;602998;;6.12
206;3:26;44;603415;;5.5
207;3:27;42;603882;;5.25
208;3:28;37;604299;;4.62
209;3:29;28;604649;53.0;3.5
210;3:30;37;605299;;4.62
211;3:31;31;605699;;3.88
212;3:32;26;606116;;3.25
213;3:33;27;606633;;3.38
214;3:34;27;607133;;3.38
215;3:35;26;607616;;3.25
216;3:36;29;608166;;3.62
217;3:37;35;608766;;4.38
218;3:38;32;609216;;4.0
219;3:39;29;609666;54.0;3.62
220;3:40;36;610282;;4.5
221;3:41;28;610649;;3.5
222;3:42;28;611149;;3.5
223;3:43;27;611633;;3.38
224;3:44;29;612166;;3.62
225;3:45;32;612716;;4.0
226;3:46;24;613083;;3.0
227;3:47;27;613633;;3.38
228;3:48;39;614332;;4.88
229;3:49;26;614616;54.0;3.25
230;3:50;31;615199;;3.88
231;3:51;29;615666;;3.62
232;3:52;30;616182;;3.75
233;3:53;29;616666;;3.62
234;3:54;27;617133;;3.38
235;3:55;31;617699;;3.88
236;3:56;31;618199;;3.88
237;3:57;34;618749;;4.25
238;3:58;40;619349;;5.0
239;3:59;29;619666;61.0;3.62
240;4:00;37;620299;;4.62
241;4:01;38;620816;;4.75
242;4:02;33;621232;;4.12
243;4:03;29;621666;;3.62
244;4:04;36;622282;;4.5
245;4:05;31;622699;;3.88
246;4:06;41;623365;;5.12
247;4:07;43;623899;;5.38
248;4:08;56;624615;;7.0
249;4:09;62;625215;56.0;7.75
250;4:10;64;625748;;8.0
251;4:11;87;626630;;10.88
252;4:12;104;627413;;13.0
253;4:13;108;627980;;13.5
254;4:14;136;628945;;17.0
255;4:15;141;629529;;17.62
256;4:16;164;630411;;20.5
257;4:17;180;631177;;22.5
258;4:18;192;631877;;24.0
259;4:19;197;632460;44.0;24.62
260;4:20;200;633010;;25.0
261;4:21;201;633527;;25.12
262;4:22;191;633860;;23.88
263;4:23;182;634211;;22.75
264;4:24;162;634378;;20.25
265;4:25;150;634678;;18.75
266;4:26;132;634879;;16.5
267;4:27;122;635213;;15.25
268;4:28;99;635330;;12.38
269;4:29;88;635647;51.0;11.0
270;4:30;71;635864;;8.88
271;4:31;56;636115;;7.0
272;4:32;55;636598;;6.88
273;4:33;48;636982;;6.0
274;4:34;40;637349;;5.0
275;4:35;27;637633;;3.38
276;4:36;31;638199;;3.88
277;4:37;38;638816;;4.75
278;4:38;35;639266;;4.38
279;4:39;34;639749;53.0;4.25
280;4:40;33;640232;;4.12
281;4:41;31;640699;;3.88
282;4:42;31;641199;;3.88
283;4:43;35;641766;;4.38
284;4:44;26;642116;;3.25
285;4:45;35;642766;;4.38
286;4:46;32;643216;;4.0
287;4:47;26;643616;;3.25
288;4:48;31;644199;;3.88
289;4:49;32;644716;53.0;4.0
290;4:50;30;645182;;3.75
291;4:51;27;645633;;3.38
292;4:52;25;646099;;3.12
293;4:53;26;646616;;3.25
294;4:54;28;647149;;3.5
295;4:55;26;647616;;3.25
296;4:56;34;648249;;4.25
297;4:57;31;648699;;3.88
298;4:58;23;649066;;2.88
299;4:59;32;649716;;4.0
300;5:00;31;650199;;3.88
