video_second;time_label;comments_per_second
170100;47:15:00;141
170160;47:16:00;164
170220;47:17:00;180
170280;47:18:00;192
170340;47:19:00;197
170400;47:20:00;200
170460;47:21:00;201
170520;47:22:00;191
170580;47:23:00;182
170640;47:24:00;162
170700;47:25:00;150
170760;47:26:00;132
170820;47:27:00;122
170880;47:28:00;99
170940;47:29:00;88
171000;47:30:00;71
171060;47:31:00;56
171120;47:32:00;55
171180;47:33:00;48
171240;47:34:00;40
171300;47:35:00;27
171360;47:36:00;31
171420;47:37:00;38
171480;47:38:00;35
171540;47:39:00;34
171600;47:40:00;33
171660;47:41:00;31
171720;47:42:00;31
171780;47:43:00;35
171840;47:44:00;26
171900;47:45:00;35
171960;47:46:00;32
172020;47:47:00;26
172080;47:48:00;31
172140;47:49:00;32
172200;47:50:00;30
172260;47:51:00;27
172320;47:52:00;25
172380;47:53:00;26
172440;47:54:00;28
172500;47:55:00;26
172560;47:56:00;34
172620;47:57:00;31
172680;47:58:00;23
172740;47:59:00;32
172800;48:00:00;31
